Broad discipline	College/School 	Major name	Admit GPA range	Admit rate	Enroll GPA range	Yield rate	Admits	Applicants	Enrolls
Architecture	College Of Environmental design	Architecture	3.64 - 3.93	0.221739130	3.68 - 3.93	0.882352941	51	230	45
Arts & Humanities	College Of Letters & science	Art	3.75 - 3.96	0.212	3.71 - 3.97	0.452830189	53	250	24
Arts & Humanities	College Of Letters & science	Chinese language & literature	3.80 - 4.00	0.418604651	3.81 - 3.99	0.388888889	18	43	7
Arts & Humanities	College Of Letters & science	Comparative literature	3.79 - 4.00	0.763157895	3.69 - 3.99	0.517241379	29	38	15
Arts & Humanities	College Of Letters & science	Dance & performance studies	3.54 - 4.00	0.521739130	3.52 - 3.62	0.416666667	12	23	5
Arts & Humanities	College Of Letters & science	East asian religion, thought, and culture	3.71 - 4.00	0.346153846	3.71 - 4.00	0.629629630	27	78	17
Arts & Humanities	College Of Letters & science	English	3.46 - 3.93	0.671428571	3.40 - 3.94	0.507598784	329	490	167
Arts & Humanities	College Of Letters & science	Film	3.52 - 3.88	0.569007264	3.47 - 3.86	0.531914894	235	413	125
Arts & Humanities	College Of Letters & science	French	3.65 - 3.80	0.785714286	3.11 - 3.71	0.545454545	11	14	6
Arts & Humanities	College Of Letters & science	History	3.69 - 3.96	0.461279461	3.63 - 3.94	0.357664234	137	297	49
Arts & Humanities	College Of Letters & science	History of art	3.61 - 3.89	0.787037037	3.57 - 3.87	0.458823529	85	108	39
Arts & Humanities	College Of Letters & science	Japanese language & literature	3.67 - 4.00	0.764705882	3.58 - 4.00	0.461538462	26	34	12
Arts & Humanities	College Of Letters & science	Linguistics	3.53 - 3.95	0.564814815	3.46 - 3.94	0.360655738	61	108	22
Arts & Humanities	College Of Letters & science	Middle eastern languages & literatures	3.33 - 3.92	0.818181818	3.53 - 3.96	0.777777778	9	11	7
Arts & Humanities	College Of Letters & science	Music	3.51 - 3.85	0.418918919	3.72 - 3.85	0.451612903	31	74	14
Arts & Humanities	College Of Letters & science	Philosophy	3.49 - 3.91	0.640845070	3.40 - 3.89	0.478021978	182	284	87
Arts & Humanities	College Of Letters & science	Rhetoric	3.70 - 4.00	0.695652174	3.65 - 4.00	0.640625	64	92	41
Arts & Humanities	College Of Letters & science	South & southeast asian studies	3.55 - 3.88	0.68	3.59 - 3.86	0.352941176	17	25	6
