Broad discipline	College/School 	Major name	Admit GPA range	Admit rate	Enroll GPA range	Yield rate	Admits	Applicants	Enrolls
Architecture	College Of Agric & environ sciences	Pre-landscape architecture	3.30 - 3.84	0.703296703	3.20 - 3.68	0.296875	64	91	19
Arts & Humanities	College Of Letters & science	Art - studio	3.40 - 3.91	0.781954887	3.38 - 3.92	0.240384615	104	133	25
Arts & Humanities	College Of Letters & science	Art history	3.42 - 3.80	0.849056604	3.56 - 3.75	0.111111111	45	53	5
Arts & Humanities	College Of Letters & science	Cinema and digital media	3.40 - 3.79	0.683908046	3.26 - 3.62	0.126050420	119	174	15
Arts & Humanities	College Of Letters & science	Design	3.47 - 3.92	0.736842105	3.47 - 3.89	0.529761905	168	228	89
Arts & Humanities	College Of Letters & science	English	3.37 - 3.89	0.806451613	3.39 - 3.86	0.172	250	310	43
Arts & Humanities	College Of Letters & science	History	3.44 - 3.89	0.765853659	3.22 - 3.93	0.210191083	157	205	33
Arts & Humanities	College Of Letters & science	Japanese	3.15 - 3.81	0.851851852	masked	0.130434783	23	27	3
Arts & Humanities	College Of Letters & science	Linguistics	3.51 - 3.99	0.818181818	3.38 - 3.71	0.166666667	54	66	9
Arts & Humanities	College Of Letters & science	Music	3.47 - 3.91	0.575	masked	0.173913043	23	40	4
Arts & Humanities	College Of Letters & science	Philosophy	3.30 - 3.87	0.740740741	3.40 - 3.89	0.116666667	120	162	14
Arts & Humanities	College Of Letters & science	Theatre and dance	3.32 - 3.85	0.74	3.34 - 3.46	0.162162162	37	50	6
Business	College Of Agric & environ sciences	Managerial economics	3.47 - 3.91	0.698360656	3.35 - 3.78	0.241784038	426	610	103
Computer Science	College Of Letters & science	Computer science	3.72 - 3.96	0.451730419	3.63 - 3.87	0.3125	496	1098	155
Education	College Of Agric & environ sciences	Agricultural and environmental education	3.15 - 3.81	0.622641509	3.13 - 3.62	0.393939394	33	53	13
Engineering	College Of Agric & environ sciences	Agricultural and environmental technology	3.53 - 3.83	0.458333333	masked	0.272727273	11	24	3
Engineering	College Of Engineering	Aerospace science and engineering	3.55 - 3.85	0.252032520	3.55 - 4.00	0.483870968	31	123	15
Engineering	College Of Engineering	Biomedical engineering	3.54 - 3.93	0.261363636	masked	0.173913043	23	88	4
Engineering	College Of Engineering	Chemical engineering	3.43 - 3.86	0.414285714	3.58 - 3.75	0.206896552	29	70	6
Engineering	College Of Engineering	Civil engineering	3.55 - 3.81	0.345945946	3.55 - 3.74	0.359375	64	185	23
Engineering	College Of Engineering	Computer engineering	3.60 - 3.95	0.366013072	3.74 - 3.92	0.214285714	56	153	12
Engineering	College Of Engineering	Computer science & engineering	3.66 - 3.91	0.157676349	3.71 - 3.84	0.342105263	76	482	26
Engineering	College Of Engineering	Engineering	3.52 - 3.92	0.492146597	3.40 - 3.80	0.202127660	94	191	19
Engineering	College Of Engineering	Environmental engineering	3.48 - 3.93	0.5	3.62 - 3.73	0.384615385	13	26	5
Engineering	College Of Engineering	Materials science	3.44 - 3.85	0.434782609	masked	0.4	10	23	4
Engineering	College Of Engineering	Mechanical engineering	3.55 - 3.89	0.325062035	3.52 - 3.82	0.305343511	131	403	40
Life Sciences	College Of Agric & environ sciences	Animal biology	3.19 - 3.83	0.709302326	3.13 - 3.76	0.622950820	61	86	38
Life Sciences	College Of Agric & environ sciences	Animal sciences	3.19 - 3.68	0.707207207	3.16 - 3.65	0.707006369	157	222	111
Life Sciences	College Of Agric & environ sciences	Biotechnology	3.54 - 3.88	0.652173913	3.52 - 3.86	0.666666667	30	46	20
Life Sciences	College Of Agric & environ sciences	Entomology	3.14 - 3.59	0.777777778	3.33 - 3.65	0.714285714	7	9	5
Life Sciences	College Of Agric & environ sciences	Environ policy analysis & planning	3.44 - 3.82	0.704918033	3.38 - 3.87	0.302325581	43	61	13
Life Sciences	College Of Agric & environ sciences	Environmental science and management	3.22 - 3.77	0.761904762	3.19 - 3.73	0.3828125	128	168	49
Life Sciences	College Of Agric & environ sciences	Environmental toxicology	3.23 - 3.35	0.411764706	masked	0.571428571	7	17	4
Life Sciences	College Of Agric & environ sciences	Food science	3.28 - 3.89	0.666666667	3.16 - 3.81	0.55	20	30	11
Life Sciences	College Of Agric & environ sciences	Global disease biology	3.13 - 3.57	0.848101266	3.07 - 3.52	0.582089552	67	79	39
Life Sciences	College Of Agric & environ sciences	Plant sciences	3.31 - 3.81	0.711538462	3.31 - 3.80	0.675675676	37	52	25
Life Sciences	College Of Agric & environ sciences	Sustainable environmental design	3.50 - 3.90	0.767441860	3.67 - 3.89	0.424242424	33	43	14
Life Sciences	College Of Agric & environ sciences	Viticulture & enology	3.35 - 3.56	0.642857143	3.34 - 3.52	0.888888889	9	14	8
