Broad discipline	College/School 	Major name	Admit GPA range	Admit rate	Enroll GPA range	Yield rate	Admits	Applicants	Enrolls
Architecture	School Of The arts & architecture	Architectural studies	3.78 - 4.00	0.096219931	3.78 - 3.98	0.571428571	28	291	16
Arts & Humanities	College Of Letters & science	American literature & culture	3.60 - 3.86	0.466666667	masked	0.571428571	7	15	4
Arts & Humanities	College Of Letters & science	Art history	3.65 - 3.94	0.612244898	3.64 - 3.94	0.577777778	90	147	52
Arts & Humanities	College Of Letters & science	Asian languages and linguistics	3.66 - 3.90	0.302325581	masked	0.307692308	13	43	4
Arts & Humanities	College Of Letters & science	Chinese	3.61 - 4.00	0.419354839	3.61 - 3.91	0.538461538	13	31	7
Arts & Humanities	College Of Letters & science	Comparative literature	3.60 - 3.96	0.413793103	3.53 - 3.86	0.5	12	29	6
Arts & Humanities	College Of Letters & science	English	3.62 - 3.94	0.589527027	3.60 - 3.93	0.507163324	349	592	177
Arts & Humanities	College Of Letters & science	European languages and transcultural studies with french and francophone	3.71 - 3.88	0.4	masked	0.666666667	6	15	4
Arts & Humanities	College Of Letters & science	Japanese	3.55 - 3.94	0.634146341	3.54 - 3.80	0.461538462	26	41	12
Arts & Humanities	College Of Letters & science	Korean	3.58 - 3.87	0.5	3.75 - 3.87	0.461538462	13	26	6
Arts & Humanities	College Of Letters & science	Linguistics	3.58 - 3.95	0.533333333	3.54 - 3.94	0.708333333	48	90	34
Arts & Humanities	College Of Letters & science	Linguistics - english	3.63 - 3.82	0.461538462	masked	0.666666667	6	13	4
Arts & Humanities	College Of Letters & science	Linguistics & anthropology	3.76 - 3.90	0.3	3.77 - 3.90	0.555555556	9	30	5
Arts & Humanities	College Of Letters & science	Linguistics & asian languages & cultures	3.78 - 3.88	0.529411765	masked	0.444444444	9	17	4
Arts & Humanities	College Of Letters & science	Linguistics & computer science	3.76 - 4.00	0.351724138	3.76 - 3.99	0.529411765	51	145	27
Arts & Humanities	College Of Letters & science	Linguistics & psychology	3.58 - 3.93	0.455882353	3.53 - 3.91	0.612903226	31	68	19
