Broad discipline	College/School 	Major name	Admit GPA range	Admit rate	Enroll GPA range	Yield rate	Admits	Applicants	Enrolls
Architecture	Not applicable	Real estate and development	3.47 - 3.98	0.694444444	3.50 - 3.80	0.32	50	72	16
Arts & Humanities	Not applicable	Art history/criticism	3.42 - 3.88	0.737704918	3.31 - 3.88	0.155555556	45	61	7
Arts & Humanities	Not applicable	Dance	3.34 - 3.89	0.739130435	masked	0.235294118	17	23	4
Arts & Humanities	Not applicable	Drama	3.35 - 3.88	0.618421053	3.18 - 3.77	0.297872340	94	152	28
Arts & Humanities	Not applicable	History	3.46 - 3.91	0.743362832	3.18 - 3.67	0.103174603	252	339	26
Arts & Humanities	Not applicable	Literature, english/american	3.45 - 3.91	0.713740458	3.54 - 3.77	0.133689840	187	262	25
Arts & Humanities	Not applicable	Literature/writing	3.29 - 3.84	0.711764706	3.14 - 3.82	0.173553719	121	170	21
Arts & Humanities	Not applicable	Music	3.50 - 3.85	0.730337079	3.26 - 3.72	0.169230769	65	89	11
Arts & Humanities	Not applicable	Philosophy	3.39 - 3.91	0.758620690	3.12 - 3.77	0.095959596	198	261	19
Arts & Humanities	Not applicable	Speculative design	3.57 - 3.92	0.773333333	3.57 - 3.92	0.224137931	58	75	13
Arts & Humanities	Not applicable	Studio art	3.32 - 3.89	0.709876543	3.20 - 3.84	0.243478261	115	162	28
Arts & Humanities	Not applicable	Visual arts - media	3.48 - 3.91	0.704918033	3.29 - 3.79	0.267441860	258	366	69
Arts & Humanities	Not applicable	World literature & cultural studies	3.66 - 4.00	0.527272727	3.35 - 3.87	0.310344828	29	55	9
Business	Not applicable	Business economics	3.58 - 3.94	0.544117647	3.41 - 3.88	0.246928747	814	1496	201
Computer Science	Not applicable	Computer science	3.89 - 4.00	0.167938931	3.86 - 4.00	0.433884298	242	1441	105
Computer Science	Not applicable	Data science	3.73 - 4.00	0.639810427	3.63 - 3.93	0.318518519	270	422	86
Education	Not applicable	Education sciences	3.42 - 3.82	0.713450292	3.34 - 3.65	0.188524590	122	171	23
Engineering	Not applicable	Aerospace engineering	3.82 - 3.97	0.264367816	3.83 - 3.97	0.195652174	46	174	9
Engineering	Not applicable	Bioengineering	3.87 - 3.99	0.227272727	3.96 - 4.00	0.333333333	15	66	5
Engineering	Not applicable	Bioengineering (biotech)	3.69 - 3.92	0.425	3.67 - 3.84	0.705882353	17	40	12
Engineering	Not applicable	Bioengineering: biosystems	3.65 - 3.89	0.65	3.49 - 3.80	0.538461538	13	20	7
Engineering	Not applicable	Chemical engineering	3.41 - 3.85	0.442105263	3.31 - 3.70	0.261904762	42	95	11
Engineering	Not applicable	Computer engineering	3.71 - 3.95	0.332142857	3.66 - 3.90	0.387096774	93	280	36
Engineering	Not applicable	Electrical engineering - bs	3.52 - 3.93	0.599326599	3.41 - 3.84	0.393258427	178	297	70
Engineering	Not applicable	Nanoengineering	3.33 - 4.00	0.5625	3.31 - 4.00	0.555555556	9	16	5
Engineering	Not applicable	Structural engineering	3.51 - 3.84	0.435374150	3.48 - 3.75	0.328125	64	147	21
Life Sciences	Not applicable	Bioengineering - bioinformatics	3.68 - 3.93	0.6	masked	0.5	6	10	3
Life Sciences	Not applicable	Biology	3.38 - 3.86	0.582369942	3.28 - 3.78	0.322580645	403	692	130
Life Sciences	Not applicable	Biology - bioinformatics	3.34 - 3.80	0.515151515	3.09 - 3.40	0.352941176	17	33	6
Life Sciences	Not applicable	Ecology, behavior & evolution	3.17 - 3.74	0.423076923	3.21 - 3.55	0.333333333	33	78	11
Life Sciences	Not applicable	Environmental systems - ecology, behavior, evolution	3.53 - 3.83	0.55	3.64 - 3.79	0.363636364	22	40	8
Life Sciences	Not applicable	Human biology	3.46 - 3.90	0.609856263	3.34 - 3.82	0.350168350	297	487	104
Life Sciences	Not applicable	Marine biology	3.33 - 3.81	0.398058252	3.23 - 3.80	0.585365854	41	103	24
Life Sciences	Not applicable	Microbiology	3.53 - 3.96	0.591836735	3.42 - 3.91	0.310344828	58	98	18
Life Sciences	Not applicable	Molecular & cell biology	3.51 - 3.90	0.723140496	3.29 - 3.81	0.251428571	175	242	44
Life Sciences	Not applicable	Neurobiology	3.43 - 3.90	0.581818182	3.12 - 3.65	0.322916667	96	165	31
Other Health Science	Not applicable	Bachelor of science in public health w/ concentration in community hlth sci	3.54 - 3.83	0.724137931	3.54 - 3.77	0.238095238	21	29	5
Other Health Science	Not applicable	Bachelor of science in public health w/ concentration in hlth policy and mgmt sc	3.34 - 3.76	0.730769231	3.17 - 3.57	0.263157895	19	26	5
Other Health Science	Not applicable	Bachelor of science in public health w/ concentration in medicine science	3.48 - 3.88	0.742424242	3.26 - 3.74	0.244897959	49	66	12
